Input
Input
Input
Input
Input
Input
Input
Input
Input
Input,44
Input,55
Input,44
Input
Input
Input,421
Input,642
Input
Input,66
Input,77
Input
Input,22
Input,44
Input,66
Input,74
Input
Input,553
Input
Input,1
Input,22
Input,5
Input,1
Input,0
Input,-1
Input
Input,557
Input
Input,223
Input,344
Input,1
Input,-1
Input,999
Input
Input
Input
Input,55
Input,333
Input,443
Input,34
Input,323
Input,21
Input
Input,1
Input,33
Input,58
Input
Input,44
Input,899
Input
Input,553
Input,-1
Input,42
Input,997
Input
Input,997
